source,text,timestamp,cleaned_text,sentiment,score
twitter,RT @0bungler: Just found out that every Samsung phone post-2022 has an Israeli app called 'AppCloud' whose only purpose is to provide a bac…,2025-09-19T14:04:13+00:00,rt  just found out that every samsung phone post2022 has an israeli app called appcloud whose only purpose is to provide a bac,Neutral,0.8191243410110474
twitter,RT @AbubakerAbedW: ⚠️: Mahmoud Abu-Musallam is a cyber security engineer in Gaza right now writing so significantly about @SamsungMobile br…,2025-09-19T14:04:12+00:00,rt   mahmoud abumusallam is a cyber security engineer in gaza right now writing so significantly about  br,Very Positive,0.3871828317642212
twitter,"RT @QudsNen: A recent report revealed that AppCloud, an Israeli application developed by IronSource, comes pre-installed on certain Samsung…",2025-09-19T14:04:08+00:00,rt  a recent report revealed that appcloud an israeli application developed by ironsource comes preinstalled on certain samsung,Neutral,0.8864786028862
twitter,"RT @QudsNen: A recent report revealed that AppCloud, an Israeli application developed by IronSource, comes pre-installed on certain Samsung…",2025-09-19T14:04:07+00:00,rt  a recent report revealed that appcloud an israeli application developed by ironsource comes preinstalled on certain samsung,Neutral,0.8864786028862
twitter,"RT @XJosh: DEATH PENALTY FOR ADVERTISERS

https://t.co/kY6Wv5irCs",2025-09-19T14:04:06+00:00,rt  death penalty for advertisers,Neutral,0.6041688919067383
twitter,"RT @DeItaone: $NVDA - JPMORGAN: SAMSUNG WINS NVIDIA HBM3E NOD

Samsung has reportedly secured Nvidia qualification for its 12-layer HBM3E c…",2025-09-19T14:04:05+00:00,"rt  nvda  jpmorgan samsung wins nvidia hbm3e nod

samsung has reportedly secured nvidia qualification for its 12layer hbm3e c",Neutral,0.7458330988883972
twitter,usuário de iphone é feito de trouxa o tempo inteiro kkkk essa função tendo no samsung mais básico de 2014 https://t.co/5XUKOGth8w,2025-09-19T14:04:04+00:00,usurio de iphone  feito de trouxa o tempo inteiro kkkk essa funo tendo no samsung mais bsico de 2014,Neutral,0.7370818853378296
twitter,"Shadowverse: Worlds Beyond
UENOFES2025 Sponsored by Samsung
MC・実況させて頂きました！
ご視聴・ご来場ありがとうございました！😆 https://t.co/k5pfXC5FnY",2025-09-19T14:04:03+00:00,"shadowverse worlds beyond
uenofes2025 sponsored by samsung
mc",Neutral,0.6613277196884155
twitter,"RT @qtpilove: I WISH… I KNEW… EARLIER…

baru tahu Xiaomi, Playstation 5, Sony, Samsung, Dyson and Baseus tengah ada FLASH SALES up to more…",2025-09-19T14:04:02+00:00,"rt  i wish i knew earlier

baru tahu xiaomi playstation 5 sony samsung dyson and baseus tengah ada flash sales up to more",Positive,0.4339824914932251
twitter,"RT @QudsNen: A recent report revealed that AppCloud, an Israeli application developed by IronSource, comes pre-installed on certain Samsung…",2025-09-19T14:04:02+00:00,rt  a recent report revealed that appcloud an israeli application developed by ironsource comes preinstalled on certain samsung,Neutral,0.8864786028862
